ID,x,y,P,ETo.FAO,ETo.HAM,ETo.HAR,ETo.BLA,ETo.AVG,ETa.HAM,ETa.HAR,ETa.BLA,ETa.AVG,RD.HAM,RS,RS100,LULC_5,random
148066,-89.4375,18.37083333,1102,1493,1164.259521,1354.704102,1422.703735,1250.407593,1010.632874,1066.239746,1100.463745,1059.112122,-247.8292694,223.4571381,242,20404,1
148334,-90.87083333,18.3625,1392,1547,1258.107544,1430.796021,1490.502686,1335.572591,1033.16687,1084.849243,1123.281494,1080.432536,-321.259613,547.9255371,550,20702,1
148416,-90.1875,18.3625,1188,1546,1237.696411,1427.589722,1476.17688,1317.189901,1067.709473,1123.358276,1145.227173,1112.098307,-314.6338806,74.05220032,353,20404,1
148513,-89.37916667,18.3625,1125,1493,1151.889893,1347.483521,1413.511841,1239.097209,1003.595703,1064.637939,1098.798462,1055.677368,-229.0546112,326.8888245,253,20404,1
148788,-90.77916667,18.35416667,1361,1554,1268.259277,1440.211548,1497.56604,1344.694865,1030.122559,1079.508911,1116.714722,1075.44873,-336.9856873,516.4493408,530,20702,1
148913,-89.7375,18.35416667,1132,1510,1175.811768,1373.32373,1431.349976,1260.99117,1004.439331,1057.576782,1084.555542,1048.857218,-258.8810425,322.7182617,271,20404,1
149097,-91.92083333,18.34583333,1510,1519,1303.547729,1328.616821,1522.4729,1376.522786,1158.210693,1149.880615,1280.839722,1196.310343,-228.1989136,584.0928955,520,21007,1
149287,-90.2875,18.34583333,1212,1546,1251.410522,1434.232544,1485.914551,1329.578532,1024.644165,1073.523682,1097.308838,1065.158895,-325.1434937,366.7392578,383,20702,1
149424,-89.14583333,18.34583333,1179,1508,1176.437256,1343.837646,1432.540771,1261.805094,1023.19342,1070.407593,1125.954834,1073.185282,-237.8569183,345.0985413,302,20404,1
149487,-88.62083333,18.34583333,1348,1499,1179.266357,1285.726563,1436.235474,1264.922729,1045.385254,1065.484985,1161.872192,1090.914144,-208.8013611,547.3123779,427,10101,1
149584,-91.4875,18.3375,1589,1535,1289.026367,1374.911499,1512.415771,1363.489502,1108.623413,1129.919434,1202.911743,1147.15153,-303.0058594,520.3126221,710,21007,1
149645,-90.97916667,18.3375,1417,1547,1256.178955,1422.754395,1489.213501,1333.857137,1031.672852,1086.729858,1127.115723,1081.839478,-320.8065491,567.9255371,570,20404,1
149811,-89.59583333,18.3375,1127,1500,1155.621704,1355.306274,1416.190674,1242.478027,1003.215637,1059.903931,1090.571289,1051.230286,-238.4254913,310.7182617,259,20404,1
149831,-89.42916667,18.3375,1122,1493,1159.408691,1350.953247,1419.060425,1245.959269,1005.012146,1061.441284,1095.519043,1053.990824,-235.6112213,326.8888245,251,10201,1
149832,-89.42083333,18.3375,1123,1493,1157.338013,1349.105835,1417.744873,1244.140299,1006.357056,1062.82251,1097.338013,1055.505859,-231.9458618,325.8888245,250,10201,1
150175,-90.22916667,18.32916667,1215,1547,1231.077271,1418.203735,1471.505005,1311.219849,1073.104614,1133.308716,1156.929688,1121.114339,-300.2035522,85.57830811,376,20404,1
150217,-89.87916667,18.32916667,1153,1523,1189.261475,1382.162476,1441.301636,1273.274862,1008.020874,1057.583862,1079.306885,1048.303874,-268.3742676,347.7182617,296,20404,1
150220,-89.85416667,18.32916667,1146,1523,1194.946411,1385.013672,1445.5271,1278.473307,1017.937622,1068.859619,1091.249756,1059.348999,-273.9500427,267.7485657,290,20404,1
150266,-89.47083333,18.32916667,1120,1496,1159.87146,1352.395386,1419.424927,1246.389282,989.0509644,1041.894043,1074.414185,1035.119731,-237.4677887,445.6715393,249,10101,1
150273,-89.4125,18.32916667,1117,1496,1168.776245,1354.670288,1426.242676,1254.598389,991.3627319,1041.106567,1077.36792,1036.612406,-243.5623016,442.6715393,250,10101,1
150492,-91.22083333,18.32083333,1638,1546,1278.954956,1405.824341,1505.59729,1354.502401,1037.591064,1074.064209,1126.99231,1079.549194,-338.3230591,795.9255371,798,10201,1
150519,-90.99583333,18.32083333,1421,1547,1253.796509,1418.133057,1487.734131,1331.775716,1021.071899,1074.239502,1115.619263,1070.310221,-317.4778442,636.9073486,572,10201,1
150639,-89.99583333,18.32083333,1184,1523,1195.578735,1392.14978,1446.067871,1279.075114,1050.608521,1108.982544,1130.988037,1096.859701,-266.8966064,134.8480835,325,20404,1
150713,-89.37916667,18.32083333,1119,1496,1174.915039,1357.497925,1430.904663,1260.244914,1020.46405,1076.457275,1113.009033,1069.976786,-248.736496,235.4571381,254,20404,1
